"Company","SFR","Payload (kg)","Launch Cost ($M)","Price ($/kg)","Funding ($M)","Launch Class","Orbit Altitude","Tech Type","Country","HQ Location","Description"
"Arianespace/Avio","9","20,000","170.000","8,500","Public","Medium, Heavy","LEO","Rocket","Italy","Colleferro","Developing the Vega & Ariane launch vehicles"
"Astra Space","9","300","3.950","13,167","Public","Small","LEO","Rocket","United States","Alameda, CA","Providing routine launch access to Earth orbit for entrepreneurs and enterprises"
"Black Sky Aerospace","9","350","0.600","1,714","-","Small","Suborbital","Rocket","Australia","Browns Plains, Queensland","Offers a range of sounding rockets, capable of flights up to 300km in multistage configurations"
"Blue Origin","9","0","0.000","0","-","Tourism, Small, Heavy","Suborbital","Rocket","United States","Kent, WA","Lowering the cost of access to space with reusable launch vehicles"
"CNIM Air Space","9","2,700","0.000","0","Public","Small, Medium","Suborbital","Balloon","France","Ayguesvives","Balloons that lift anything from a few kilograms to several tons and are able to operate at an altitude as low as a few hundred metres or as high as 40 km"
"Galactic Energy","9","5,000","0.000","14,400","243.00","Small, Medium","LEO","Rocket","China","-","Developing the Ceres-1 and Pallas-1 launch vehicles"
"Northrop Grumman","9","8,000","80.000","10,000","Public","Small, Medium","LEO","Rocket","United States","Falls Church, VA","Designs, manufactures, and operates launch vehicles, propulsion systems, and satellites and related components"
"Raptor Aerospace","9","16","0.000","0","-","Small","Suborbital","Rocket","United Kingdom","Badersfield, England","Developing suborbital rockets to proide access and research for traditional and ‘New-Space’ markets"
"Rocket Lab","9","300","4.900","16,333","257.31","Small","LEO","Rocket","United States","Long Beach, CA","The first rocket company and launch site for cubesat payloads in New Zealand"
"SpaceX*","9","63,800","90.000","1,411","8410","Heavy, Super Heavy","LEO","Rocket","United States","Hawthorne, CA","SpaceX designs, manufactures, and launches advanced rockets and spacecraft"
"Swedish Space Corp","9","2,000","0.000","0","-","Small","Suborbital","Balloon, Rocket","Sweden","Solna","SSC designs sounding rocket vehicles, stratospheric balloon systems, and payloads"
"United Launch Alliance","9","17,800","99.000","5,562","Joint Venture","Medium, Heavy","LEO","Rocket","United States","Centennial, CO","A joint venture between Lockheed Martin and Boeing, ULA produces the Vulcan, Atlas and Delta Launch Vehicle Families"
"UP Aerospace","9","36","0.000","0","0.72","Small","Suborbital","Rocket","United States","Highlands Ranch, CO","UP Aerospace is a suborbital space launch and flight test service provider"
"Virgin Galactic/The Spaceship Company","9","372","1.500","4,032","Public","Tourism","Suborbital","Spaceplane","United States","Mojave, CA","Building a fleet of WhiteKnightTwo carrier aircraft and SpaceShipTwo reusable spaceships"
"Virgin Orbit/VOX Space","9","500","12.000","24,000","-","Small","LEO","Plane, Rocket","United States","Long Beach, CA","The small payload orbital launch sister company to Virgin Galactic"
"World View","9","4,500","0.000","0","48.68","Small, Medium","Suborbital","Balloon","United States","Tucson, AZ","The Stratollite is a remotely operated, navigable vehicle that can remain aloft for days, weeks, and months on end"
"Firefly Aerospace","8","1,000","15.000","15,000","98.16","Small","LEO","Rocket","United States","Cedar Park, TX","Developing the Firefly Alpha launch vehicle; highest payload performance with the lowest cost per kg to orbit in its vehicle class"
"iSpace","8","300","5.000","16,667","275.00","Small","LEO","Rocket","China","Beijing","iSpace is a Chinese private space launch company developing the Hyperbola rocket family"
"Mitsubishi Heavy Industries","8","19,000","112.500","5,921","Public","Medium","LEO","Rocket","Japan","Tokyo, Tokyo","Launch vehicle manufacturer and launch services provider"
"Relativity Space","8","1,250","10.000","8,000","1334.54","Small, Heavy","LEO","Rocket","United States","Los Angeles, CA","Designing orbital-class launch vehicles that are autonomously constructed"
"Sierra Space","8","5,000","0.000","0","1400.00","Medium","LEO","Spaceplane","United States","Broomfield, CO","Developing Dream Chaser, a multi-mission space utility vehicle designed to transport crew and cargo to low-Earth orbit"
"ABL Space Systems","7","1,350","12.000","8,889","420.00","Small","LEO","Rocket","United States","El Segundo, CA","Building rockets to launch small satellites"
"Landspace","7","4,000","0.000","0","361.30","Small, Medium","LEO","Rocket","China","Beijing","Commercial launch vehicle manufacturer and space launch provider in China"
"Stoke Space Technologies","7","500","0.000","0","74.10","Small","LEO","Rocket","United States","Seattle, WA","Developinig the world's first 100% reusable rocket"
"Strato","7","0","0.000","0","-","Small","Suborbital","Balloon","Ukraine","Kiev","Launching sratospheric balloons for research and promotional purposes"
"T-Minus","7","45","0.000","0","-","Small","Suborbital","Rocket","Netherlands","Delft","Offering commercial suborbital platforms for scientific research, commercial applications, and defense"
"Dawn Aerospace","6","100","0.000","0","4.54","Small","LEO","Spaceplane","Netherlands","Delft","Developing scalable and sustainable space transportation technology to become the backbone of the near space economy"
"Deep Blue Aerospace","6","4,500","0.000","0","45.60","Small, Medium","LEO","Rocket","China","Beijing","Committed to reducing the cost of entering space via reusable launch products"
"Exos Aerospace","6","100","0.000","0","9.09","Small","Suborbital","Rocket","United States","Caddo Mills, TX","Selling reusable launch vehicles for small, sub-orbital scientific/experimental payloads"
"Gilmour Space","6","215","7.000","32,558","66.00","Small","LEO","Rocket","Australia","Pimpama, Queensland","Developing the ERIS launch vehicles to provide reliable and cost-effective access to space"
"Honda","6","1,000","0.000","0","Public","Small","LEO","Rocket","Japan","Tokyo, Tokyo","Applying autonomous technology to develop a resuable small rocket"
"Isar Aerospace Technologies","6","1,000","10.000","10,000","180.00","Small","LEO","Rocket","Germany","Ottobrun","Lowering the entry barriers to space and making space access affordable and sustainable"
"Masten Space Systems","6","200","0.000","0","-","Small","Suborbital","Rocket","United States","Mojave, CA","Buildig the Xogdor rocket to test payloads at supersonic speeds and at the edge of space"
"One Space","6","200","3.200","16,000","116","Small","LEO","Rocket","China","Beijing","Building a private 3-stage nanosatellite launch vehicle in China"
"PLD Space","6","300","0.000","0","27.14","Small","LEO","Rocket","Spain","Elche","A Euro startup developing tech for suborbital & orbital launch services, dedicated to small payloads and nanosatellites"
"Sea Launch/S7","6","6,160","0.000","0","-","Medium","GTO","Rocket","Russia","-","Integrated launch services for the Zenit Launch Vehicle via a mobile sea platform"
"Skyrora","6","500","12.600","25,200","4.85","Small","LEO","Rocket","United Kingdom","Edinburgh, Scotland","Cost effective small satellite launch services from the United Kingdom"
"Space Forest","6","50","0.000","4,500","-","Small","Suborbital","Rocket","Poland","Gdynia","Commercializing new suborbital rocket technologies"
"Space Perspective*","6","0","0.000","0","65.00","Tourism","Suborbital","Balloon","United States","Kennedy Space Center, FL","The off-world travel company"
"SpinLaunch","6","100","0.500","5,000","150.00","Small","LEO","Other","United States","Long Beach, CA","Small satellite space launch via a kinetic launch system"
"Zero 2 Infinity","6","0","0.000","0","13.83","Tourism","Suborbital","Balloon","Spain","Barcelona","Developing a zero-emission space tourism platform"
"Equatorial Space Systems","5","350","0.000","0","0.75","Small","LEO","Rocket","United States","Albuquerque, NM","Developing Volanis, a series of hybrid small-launch vehicles operated from an ocean platform"
"Hanwha Aerospace","5","500","0.000","0","Public","Small","LEO","Rocket","South Korea","Seoul","Developing a small satellite launcher in cooperation with the Korea Aerospace Research Institute"
"HyImpulse","5","500","7.780","15,560","9.70","Small","LEO","Rocket","Germany","Kochen","Developing an orbital small launcher, powered by a unique, green hybrid propulsion technology"
"INNOSPACE","5","1,000","20.000","20,000","28.40","Small","LEO","Rocket","South Korea","Sejong City","Developing hybrid small satellite launch vehicles"
"Interstellar Technologies","5","100","0.440","4,400","0.35","Small","Suborbital","Rocket","Japan","Taiki, Hokkaido","Privately developing rocket engines and suborbital launch vehicles in Japan"
"Launcher","5","773","10.000","12,937","14.90","Small","LEO","Rocket","United States","Hawthorne, CA","A team on a 10-year journey to deliver small satellites to orbit."
"LinkSpace","5","200","4.500","22,500","-","Small","LEO","Rocket","China","Beijing","Developing reusable launch vehicle technology for orbital payloads in China"
"Maritime Launch Services","5","5,000","45.000","9,000","-","Medium","LEO","Rocket","Canada","Halifax, Nova Scotia","Building up Canada's NewSpace industry as the first private launch provider in Canso, Nova Scotia"
"Orbex","5","220","0.000","0","39.53","Small","LEO","Rocket","United Kingdom","London, England","Launch services for small, micro and nano satellites"
"Orienspace","5","6,500","0.000","0","171.90","Medium","LEO","Rocket","China","-","Developing the sea-launched Gravity-1 vehicle"
"PD Aerospace","5","6,000","0.000","0","6.75","Tourism, Medium","Suborbital","Spaceplane","Japan","Nagoya, Aichi","Developing a fully-reusable suborbital spacecraft"
"Perigee Aerospace","5","65","2.000","30,769","13.86","Small","LEO","Rocket","South Korea","Daejeon","Developing Blue Whale 1, a micro launch vehicle"
"Reaction Engines","5","17,000","0.000","860","95.37","Medium","LEO","Spaceplane","United Kingdom","Abingdon, England","Developing the re-usable Skylon spaceplane powered by SABRE propulsion"
